TRANSTEXT 7.2.998.2
PRIMARY_LANGID 7
English Text	Translated Text	Item Type
TRANSLATED
"Display completed tasks"	"Erledigte Aufgaben anzeigen"	"checkbox"
"Requires Admin Privileges to modify"	"Änderungen benötigen Admin-Rechte"	"label"
"Selected task (Task ID)"	"Gewählte Aufgabe (Aufgaben ID)"	"tooltip"
"Selected task [Path] (Task ID)"	"Gewählte Aufgabe [Pfad] (Aufgaben ID)"	"tooltip"
"%d more tasks"	"%d weitere Aufgaben"	"tooltip"
"<Multiple tasks selected>,"	"<Mehrere Aufgaben gewählt>,"	"text"
"<No task selected>,"	"<Keine Aufgabe gewählt>,"	"text"
"Hide All"	"Alle verbergen"	"menu"
"Show All"	"Alle anzeigen"	"menu"
"Unallocated"	"Nicht zugewiesen"	"text"
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(ACHTUNG: Eine oder mehrere Aufgaben haben Teilaufgaben, die ebenfalls gelöscht werden.)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(ACHTUNG: Diese Aufgabe hat Teilaufgaben, die ebenfalls gelöscht werden.)"	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	"\n\nMöchten sie das Auschecken der Aufgabenliste erzwingen?\n\nAnmerkung: Alle ungespeicherten Daten von '%s' gehen dabei verloren!"	"text"
"\nWould you like to update to this version?"	"\nMöchten sie auf diese Version updaten?"	"text"
"% Complete"	"% erledigt"	"label"
"% of page"	"% der Seite"	"combobox"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f kB bisher heruntergeladen (%0.1f kB verbleibend)"	"text"
"%d / %d tasks"	"%d / %d Aufgaben"	"text"
"%d tasks selected"	"%d Aufgaben ausgewählt"	"text"
"%s\n%d Estimated\n%d Actual"	"%s\n%d Geschätzt\n%d Aktuell"	"tooltip"
"%s\n%d Estimated\n%d Spent"	"%s\n%d Geschätzt\n%d Zeitaufwand"	"tooltip"
"%s\n%d Started\n%d Completed"	"%s\n%d Begonnen\n%d Erledigt"	"tooltip"
"%s\n%d Tasks"	"%s\n%d Aufgaben"	"tooltip"
"%s (Custom)"	"%s (Benutzerdefiniert)"	"text"
"%s (Custom, Relative)"	"%s (Benutzerdefiniert, Relativ)"	"text"
"%s (Delay loaded)"	"%s (wird verzögert geladen)"	"text"
"%s - %d tasks"	"%s - %d Aufgaben"	"text"
"%s weekdays"	"%s Wochentage"	"text"
"'%s' contained no tasks which could be imported."	"'%s' enthielt keine Aufgaben, die importiert werden konnten."	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"'%s' konnte nicht ausgecheckt werden;\nes ist bereits ausgecheckt von '%s' (Zuletzt gespeichert: %s)."	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"'%s' konnte nicht ausgecheckt werden.\n\nBitte überprüfen Sie, ob die Datei nicht verschoben oder gelöscht wurde und ob Sie die erforderlichen Zugriffsrechte besitzen."	"text"
"'%s' could not be found."	"'%s' konnte nicht gefunden werden."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"'%s' konnte nicht geöffnet werden (%d).\n\nBitte prüfen sie, ob die Datei vorhanden ist und ob sie die erforderlichen Zugriffsrechte besitzen, bevor sie es nochmals versuchen."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"'%s' konnte nicht geöffnet werden, weil der Zugriff verweigert wurde.\n\nBitte überprüfen Sie, ob Sie die erforderlichen Zugriffsrechte besitzen."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' konnte nicht geöffnet werden, weil ein anderer Anwender\noder eine andere Anwendung zurzeit auf die Datei zugreifen.\n\nBitte versuchen Sie es in einem Moment nochmals."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"'%s' konnte nicht geöffnet werden, weil es falsch formatierten XML-Code enthält, den die MSXML-Komponente nicht interpretieren kann."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"'%s' konnte nicht geöffnet werden, weil es verschlüsselt ist und Sie die Verschlüsselungskomponente nicht installiert haben.\n\nBitte kontaktieren sie AbstractSpoon Software für weitere Informationen."	"text"
"'%s' could not be opened because the method of encryption could not be determined."	"'%s' konnte nicht geöffnet werden, weil die Verschlüsselungsmethode nicht ermittelt werden konnte."	"text"
"'%s' could not be opened because the network location is not currently accessible."	"'%s' konnte nicht geöffnet werden, weil die Netzwerkadresse momentan nicht erreichbar ist."	"text"
"'%s' could not be opened due to an unexpected error (%d)."	"'%s' konnte wegen eines unerwarteten Fehlers (%d) nicht geöffnet werden."	"text"
"'%s' could not be opened for importing.\n\nCheck that you have the necessary permissions and that the file is not open in another application."	"'%s' konnte nicht für den Import geöffnet werden.\n\nPrüfen sie, ob sie die erforderlichen Zugriffsrechte haben und ob die Datei nicht durch eine andere Anwendung geöffnet ist."	"text"
"'%s' could not be saved because access to the file was denied.\n\nPlease select another filename."	"'%s' konnte nicht gespeichert werden, weil der Zugriff verweigert wurde.\n\nBitte wählen sie einen anderen Dateinamen."	"text"
"'%s' could not be saved because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' konnte nicht gespeichert werden, weil ein anderer Anwender\noder eine andere Anwendung zurzeit auf die Datei zugreifen.\n\nBitte versuchen Sie es in einem Moment nochmals."	"text"
"'%s' could not be saved because the file is read-only.\n\nPlease select another filename."	"'%s' konnte nicht gespeichert werden, weil die Datei schreibgeschützt ist.\n\nBitte wählen sie einen anderen Dateinamen."	"text"
"'%s' could not be saved due to an unexpected error (%d)."	"'%s' konnte wegen eines unerwarteten Fehlers (%d) nicht gespeichert werden."	"text"
"'%s' could not be saved due to insufficient disk space.\n\nPlease select another filename."	"'%s' konnte nicht gespeichert werden, weil der Speicherplatz nicht ausreicht.\n\nBitte wählen sie einen anderen Dateinamen."	"text"
"'%s' does not appear to be a valid tasklist."	"'%s' scheint keine gültige Aufgabenliste zu sein."	"text"
"'%s' has no tasks due by the end of next month"	"'%s' hat keine Aufgaben fällig bis:\nEnde nächsten Monats"	"text"
"'%s' has no tasks due by the end of next week"	"'%s' hat keine Aufgaben fällig bis:\nEnde nächster Woche"	"text"
"'%s' has no tasks due by the end of this month"	"'%s' hat keine Aufgaben fällig bis:\nEnde dieses Monats"	"text"
"'%s' has no tasks due by the end of this week"	"'%s' hat keine Aufgaben fällig bis:\nEnde dieser Woche"	"text"
"'%s' has no tasks due by today"	"'%s' hat keine Aufgaben fällig bis:\nheute"	"text"
"'%s' has no tasks due by tomorrow"	"'%s' hat keine Aufgaben fällig bis:\nmorgen"	"text"
"'%s' must be checked out before it can be saved."	"'%s' muss ausgecheckt werden, bevor es gespeichert werden kann."	"text"
"'Bar' colour for tasks having no colour"	"Farbe des 'Balkens' für Aufgaben ohne Farben"	"checkbox"
